artwork_id,title,artist_id,year_created,medium,price,gallery_id
1,Silent Reflections,1,2010,Oil on Canvas,1200.50,1
2,Whispers of Time,2,2012,Acrylic,980.00,2
3,City Dreams,3,2015,Digital,1500.75,3
4,Eternal Bliss,4,2018,Sculpture,3500.00,4
5,Fragmented Reality,5,2013,Charcoal,600.50,5
6,Vivid Memories,6,2011,Watercolor,750.80,6
7,Abstract Harmony,7,2017,Oil on Canvas,3200.40,7
8,Nature's Echo,8,2019,Woodcut,2250.60,8
9,Shifting Perspectives,9,2014,Acrylic,1780.90,9
10,The Untold Stories,10,2020,Digital,4100.10,10
11,Distant Horizons,11,2016,Ink on Paper,1120.20,11
12,The Light Within,12,2011,Acrylic,2450.00,12
13,Fading Shadows,13,2015,Sculpture,2900.75,13
14,Whimsical Journey,14,2019,Oil on Canvas,4100.80,14
15,In Search of Light,15,2020,Acrylic,6200.30,15
16,Lost in Time,16,2013,Watercolor,900.50,16
17,The Hidden Layers,17,2018,Oil on Canvas,780.45,17
18,Embracing Chaos,18,2012,Digital,1980.00,18
19,Golden Reflections,19,2017,Sculpture,3450.55,19
20,Beyond the Horizon,20,2011,Acrylic,2700.90,20
21,Timeless Expressions,21,2016,Oil on Canvas,500.70,21
22,Fleeting Glimpses,22,2021,Charcoal,890.30,22
23,The Dream Catcher,23,2019,Watercolor,1520.00,23
24,Resonant Echoes,24,2014,Oil on Canvas,2650.00,24
25,Shades of Nature,25,2012,Woodcut,2300.50,25
26,The Silent Observer,26,2020,Acrylic,3120.20,26
27,Through the Mist,27,2013,Digital,4100.00,27
28,Whispers of Color,28,2015,Ink on Paper,600.00,28
29,Frozen in Time,29,2018,Sculpture,2500.30,29
30,Distant Dreams,30,2016,Oil on Canvas,4500.10,30
31,Illuminated Pathways,31,2021,Acrylic,3700.50,31
32,Captured Moments,32,2014,Watercolor,800.60,32
33,Fragmented Thoughts,33,2017,Oil on Canvas,1850.40,33
34,Reflections of Time,34,2021,Sculpture,2980.20,34
35,Serenity Within,35,2010,Acrylic,990.80,35
36,The Soul's Journey,36,2016,Digital,1600.00,36
37,Mystic Impressions,37,2013,Charcoal,670.45,37
38,Nature's Symphony,38,2018,Watercolor,750.30,38
39,The Eternal Flame,39,2012,Sculpture,4100.60,39
40,Changing Seasons,40,2014,Oil on Canvas,2200.10,40
41,The Hidden Treasures,41,2020,Acrylic,4700.00,41
42,Fleeting Memories,42,2011,Ink on Paper,490.50,42
43,The Golden Hour,43,2019,Oil on Canvas,6100.10,43
44,In Harmony,44,2015,Acrylic,3200.70,44
45,The Journey Ahead,45,2013,Digital,1200.00,45
46,Echoes of the Past,46,2016,Oil on Canvas,2000.50,46
47,Whispers of Silence,47,2019,Charcoal,450.40,47
48,Frozen Echoes,48,2018,Sculpture,3350.00,48
49,Hidden Desires,49,2021,Woodcut,4100.00,49
50,Nature's Essence,50,2017,Watercolor,2450.50,50
51,The Last Frontier,51,2020,Acrylic,4900.10,51
52,Illusions of Time,52,2012,Oil on Canvas,670.50,52
53,The Wanderer,53,2013,Digital,3900.20,53
